,City,Temperature (F),Humidity (%),Cloudiness,Wind Speed (mph),Latitude,Longitude
46,atuona,80.2,67,0,11.01,-9.8,-139.03
47,sitka,78.01,84,81,11.01,37.17,-99.65
48,byron bay,53.73,100,90,5.82,-28.65,153.62
49,terme,77,65,0,4.7,41.21,36.97
50,port-de-paix,,,,,,
51,saint-philippe,77.95,41,1,6.82,45.36,-73.48
52,rioja,52.84,96,74,3.62,-6.06,-77.17
53,aktau,87.8,25,0,17.9,43.65,51.16
54,avarua,71.6,88,33,5.82,-21.21,-159.78
55,muncar,66.52,97,66,2.17,-8.43,114.34
56,ust-tsilma,56.62,63,54,6.96,65.44,52.15
57,maceio,78.8,69,75,14.99,-9.67,-35.74
58,port elizabeth,70.66,83,90,11.41,39.31,-74.98
59,berlevag,48.2,87,0,3.36,70.86,29.09
60,muzhi,50.86,72,43,7.34,65.4,64.7
61,norwich,63.21,51,0,8.05,52.63,1.29
62,hirara,83.8,86,100,17.05,24.8,125.28
63,victoria,77.54,88,75,2.82,5.28,115.24
64,itacarambi,79.84,40,38,7.11,-15.1,-44.09
65,vaini,78.94,85,94,11.88,15.34,74.49
66,komsomolskiy,47.8,68,76,11.12,67.55,63.78
67,bay roberts,73.36,37,20,16.11,47.58,-53.28
68,olafsvik,,,,,,
69,port lincoln,58.96,78,0,12.71,-34.72,135.86
70,ambon,79.9,41,0,11.41,47.55,-2.56
71,bengkulu,,,,,,
72,bayan,47.98,90,100,0.45,36.1,102.26
73,shingu,63.46,98,100,4.03,33.72,135.99
74,punta arenas,41,93,90,6.93,-53.16,-70.91
75,yellowknife,46.15,81,75,11.41,62.45,-114.38
76,jizan,98.6,42,40,8.05,16.89,42.56
77,koungheul,95.86,36,90,6.11,13.98,-14.8
78,pangnirtung,44.6,100,90,10.29,66.15,-65.72
79,bluff,55,91,16,1.7,-23.58,149.07
80,ancud,50,93,90,14.99,-41.87,-73.83
81,coihaique,42.87,93,90,4.7,-45.58,-72.07
82,narbonne,85.68,61,0,11.41,43.18,3
83,arraial do cabo,70.47,53,40,6.93,-22.97,-42.02
84,bol,86.32,54,85,9.28,13.47,14.72
85,jucas,88.66,33,15,13.44,-6.53,-39.53
86,bathsheba,87.8,66,40,20.8,13.22,-59.52
87,buchanan,80.6,83,75,11.41,5.88,-10.05
88,castro,50,93,90,14.99,-42.48,-73.76
89,fortuna,58.66,93,90,3.36,40.6,-124.16
90,margate,43.86,66,20,12.75,-43.03,147.26
91,saldanha,74.62,40,60,10.49,41.42,-6.55
92,humaita,52.14,62,40,5.82,-24.93,-65.37
93,barawe,,,,,,
94,puerto ayora,76.35,61,40,18.34,-0.74,-90.35
95,florida,52.84,69,47,7.25,-34.1,-56.21
96,santo tomas,73.72,100,75,3.36,7.53,125.62
97,alofi,66.2,93,84,2.24,-19.06,-169.92
98,vallenar,61.3,57,100,8.28,-28.58,-70.76
99,mar del plata,49.6,60,48,11.03,-46.43,-67.52
100,parabel,59.68,83,21,13.33,58.71,81.5
101,ijaki,,,,,,
102,tuktoyaktuk,42.8,87,40,4.7,69.44,-133.03
103,ilulissat,55.4,43,20,5.82,69.22,-51.1
104,coihueco,56.68,72,75,14.99,-36.63,-71.83
105,roald,54.9,71,75,12.75,62.58,6.12
106,san patricio,63.28,57,0,6.17,-26.98,-56.83
107,saint-pierre,72.19,30,0,16.11,48.95,4.24
108,nanganga,69.76,70,5,3.02,-10.41,39.17
109,norman wells,57.2,62,75,13.87,65.28,-126.83
110,iqaluit,50,81,75,3.36,63.75,-68.52
111,tilichiki,51.4,92,100,3.91,60.47,166.1
112,laguna,80.6,83,75,4.7,16.17,-88.94
113,hermanus,60.76,73,83,7,-34.42,19.24
114,kodiak,85.19,27,40,6.93,39.95,-94.76
115,hualmay,62.74,86,51,13.42,-11.1,-77.61
116,juneau,61.77,77,75,9.17,58.3,-134.42
117,labuan,77.54,88,75,2.82,5.28,115.24
118,saskylakh,48.88,95,73,6.6,71.97,114.09
119,goundam,104.68,19,40,7.56,16.42,-3.66
120,sao gabriel da cachoeira,75.2,83,75,4.7,-0.13,-67.09
121,lorengau,80.38,80,96,10.56,-2.02,147.27
122,illoqqortoormiut,,,,,,
123,qaanaaq,38.44,92,100,3.78,77.48,-69.36
124,cidreira,60.76,50,18,1.21,-30.17,-50.22
125,pisco,67.62,30,20,10.29,-13.71,-76.2
126,tsumeb,60.22,10,0,10.92,-19.25,17.72
127,nelson bay,53.28,93,0,11.41,-32.72,152.14
128,mys shmidta,,,,,,
129,vila franca do campo,69.8,94,75,18.34,37.72,-25.43
130,codrington,53.98,100,90,5.82,-28.95,153.24
131,ponta do sol,67.42,49,0,5.82,-20.63,-46
132,senanga,62.38,11,0,6.69,-16.1,23.3
133,georgetown,87.96,74,40,11.41,6.8,-58.16
134,sandwick,63.93,59,100,4.7,54.57,-2.89
135,tara,73.22,83,75,4.7,33,130.15
136,coquimbo,61.45,71,90,5.82,-29.95,-71.34
137,pinotepa nacional,,,,,,
138,ofaqim,82.08,69,0,5.48,31.31,34.62
139,sur,83.98,69,8,11.14,22.57,59.53
140,moreira sales,64.72,57,0,9.69,-24.05,-53.01
141,oskemen,62.6,82,40,2.24,49.96,82.61
142,viedma,55.36,54,100,7.65,-40.81,-62.99
143,kiruna,64.4,56,15,12.75,67.86,20.23
144,lagoa,73.65,73,20,21.92,37.14,-8.45
145,campo grande,73.4,28,0,4.7,-20.46,-54.62
146,brae,54.61,81,20,8.05,60.4,-1.35
147,acapulco,86,74,5,5.82,16.86,-99.88
148,walvis bay,68.05,61,0,6.93,-22.95,14.51
149,teguise,78.8,57,20,24.16,29.06,-13.56
150,esperance,46.4,93,0,8.05,-33.86,121.89
151,cape town,60.46,82,75,11.41,-33.93,18.42
152,rio gallegos,42.8,93,90,8.05,-51.62,-69.22
153,tupiza,58.6,10,0,14.76,-21.44,-65.72
154,porto velho,84.2,62,0,6.93,-8.75,-63.87
155,surt,83.62,56,0,8.05,31.21,16.59
156,weyburn,75,70,69,5.01,49.67,-103.85
157,marsabit,85.42,33,31,11.34,2.34,37.99
158,new norfolk,43.86,66,20,12.75,-42.78,147.06
159,amderma,,,,,,
160,bredasdorp,63.66,59,50,14.99,-34.53,20.04
161,te anau,41.68,79,100,10.74,-45.41,167.72
162,bridlington,62.38,67,91,8.05,54.08,-0.19
163,tucupita,91.72,49,24,7.63,9.06,-62.05
164,juliaca,57.2,26,0,2.24,-15.49,-70.13
165,lompoc,60.89,82,90,6.93,34.64,-120.46
166,hamilton,76.14,49,75,3.36,43.26,-79.87
167,upernavik,41.5,77,100,14.45,72.79,-56.15
168,korem,66.52,52,76,5.17,12.51,39.52
169,agadir,82.4,45,0,16.11,30.42,-9.58
170,agua verde,90.03,59,75,9.17,22.89,-105.97
171,arvika,65.93,55,66,8.05,59.65,12.59
172,itoman,79.05,88,40,6.93,26.12,127.67
173,thompson,62.6,93,90,6.93,55.74,-97.86
174,vigrestad,54.36,71,75,19.46,58.57,5.7
175,nanortalik,52.12,45,100,10.69,60.14,-45.24
176,turayf,93.2,18,0,11.41,31.68,38.65
177,beringovskiy,57.34,61,29,2.82,63.05,179.32
178,russell,84.94,62,40,14.99,38.9,-98.86
179,haibowan,,,,,,
180,meulaboh,81.64,80,64,8.01,4.14,96.13
181,januaria,,,,,,
182,torbay,73.42,37,20,16.11,47.66,-52.73
183,cherskiy,64.72,52,75,7.61,68.75,161.3
184,klaksvik,53.6,81,20,9.17,62.23,-6.59
185,bereznik,58.42,72,100,5.21,62.86,42.71
186,san cristobal,82,53,79,5.93,14.68,-86.92
187,kozhevnikovo,68,63,72,6.82,56.26,83.98
188,tupik,50.68,96,70,2.91,54.43,119.94
189,padang,80.38,81,100,16.75,-0.92,100.36
190,najran,98.6,13,40,4.7,17.54,44.22
191,salalah,86,84,75,6.93,17.01,54.1
192,phalombe,60.04,55,51,7.25,-15.81,35.65
193,gambela,67.96,92,100,4.76,8.25,34.59
194,fare,78.76,81,42,17.69,-16.7,-151.02
195,la asuncion,65.08,30,0,6.06,-26.05,-65.39
196,dhidhdhoo,84.16,78,57,12.24,6.88,73.1
197,saint george,92.84,26,20,12.75,39.45,22.34
198,gat,84.2,66,0,11.41,14.69,-16.54
199,nouadhibou,73.4,69,0,20.8,20.93,-17.03
200,flin flon,69.8,68,75,6.93,54.77,-101.88
201,kachiry,68.68,56,54,9.01,53.07,76.1
202,amarwara,72.1,90,100,10.25,22.3,79.17
203,ellisras,60.22,23,0,6.11,-23.67,27.74
204,solnechnyy,59.32,96,86,4.54,50.72,136.64
205,ribeira grande,75.2,69,20,17.22,38.52,-28.7
206,namibe,68.5,85,0,4,-15.19,12.15
207,ouahigouya,96.4,28,30,9.06,13.58,-2.42
208,broken hill,42.8,81,0,3.22,-31.97,141.45
209,kuchera,92.44,46,8,23.4,26.99,73.97
210,valdivia,53.6,81,90,9.17,-39.81,-73.25
211,poltavka,62.74,89,100,5.91,54.36,71.76
212,sawtell,50.47,100,10,5.93,-30.38,153.1
213,dalian,84.2,83,0,4.47,19.86,110.11
214,ornes,66.36,48,0,10.29,49.25,5.47
215,xinxiang,68.68,66,93,4.79,35.3,113.88
216,kardailovo,68.68,60,8,3.83,51.54,53.9
217,kiunga,71.38,99,100,1.34,-6.12,141.3
218,ostrovnoy,39.7,91,97,13.2,68.05,39.51
219,luganville,67.42,97,78,2.24,-15.51,167.18
220,sentyabrskiy,,,,,,
221,kathu,55.99,36,64,7.29,-27.7,23.05
222,tumannyy,,,,,,
223,isangel,70.66,70,1,19.8,-19.55,169.27
224,xai-xai,63.64,76,1,5.26,-25.04,33.64
225,westport,73.54,69,1,6.93,41.14,-73.36
226,tsihombe,,,,,,
227,galle,73.18,94,100,3.2,10.08,-12.83
228,boyolangu,66.52,94,5,5.68,-8.09,111.9
229,kavaratti,83.44,80,100,15.59,10.57,72.64
230,kerur,76.06,75,100,18.61,16.02,75.57
231,polunochnoye,54.1,79,100,4,60.87,60.43
232,cockburn town,82.18,76,2,16.64,21.46,-71.14
233,ler,52.23,87,75,16.11,63.2,10.3
234,bambous virieux,72.72,83,20,2.24,-20.34,57.76
235,biak,63.28,98,87,4.09,-0.91,122.88
236,halifax,78.01,47,20,8.05,44.65,-63.58
237,christchurch,36.48,100,9,4.7,-43.53,172.64
238,boueni,78.8,69,0,8.05,-12.9,45.08
239,hithadhoo,84.52,78,34,14.18,-0.6,73.08
240,kruisfontein,56.98,74,100,10.31,-34,24.73
241,ituni,,,,,,
242,boralday,73.4,46,75,6.71,43.36,76.86
243,namatanai,78.76,83,100,16.31,-3.66,152.44
244,villamontes,73.4,43,0,5.82,-21.26,-63.47
245,afmadu,,,,,,
246,the valley,86.95,70,40,16.11,18.22,-63.06
247,ribeira brava,71.11,60,40,12.75,32.65,-17.07
248,kiama,50.76,81,16,9.17,-34.67,150.86
249,tiksi,52.84,84,83,5.61,71.64,128.87
250,caronport,73.72,69,75,12.75,50.46,-105.81
251,blantyre,66.34,34,19,1.88,-15.79,35
252,lebu,59.86,76,84,2.53,8.96,38.73
253,parkes,48,97,1,4.65,-33.14,148.18
254,mahebourg,72.68,83,20,2.24,-20.41,57.7
255,east london,62.6,67,0,5.82,-33.02,27.91
256,airai,67.24,87,38,4.32,-8.93,125.41
257,san francisco,69.8,73,40,8.05,1.17,-76.88
258,jaumave,91.4,36,5,13.87,23.41,-99.38
259,mokrousovo,57.34,82,81,11.86,55.81,66.77
260,dali,65.44,75,100,3.83,34.79,109.94
261,petropavlovsk-kamchatskiy,46.4,100,75,4.47,53.05,158.65
262,hinton,59,62,97,4.07,53.4,-117.57
263,lima,64.4,77,90,9.17,-12.06,-77.04
264,champerico,84.2,51,40,4.7,16.38,-93.6
265,gwadar,84.52,82,0,8.3,25.12,62.33
266,omboue,72.28,88,62,11.61,-1.57,9.26
267,krasnyy chikoy,53.38,65,0,1.1,50.36,108.75
268,provideniya,66.34,30,64,5.64,64.42,-173.23
269,ouallam,103.96,20,10,15.84,14.32,2.08
270,qalyub,90.18,38,0,10.29,30.18,31.21
271,geraldton,71.6,53,90,3.36,49.72,-86.95
272,kazalinsk,,,,,,
273,samalaeulu,,,,,,
274,loiza,87.4,66,40,18.34,18.43,-65.88
275,jutai,88.66,59,10,4.92,-1.71,-47.89
276,wanning,65.21,63,20,14.99,48.64,13.53
277,puerto escondido,87.8,58,75,5.82,15.86,-97.07
278,buala,78.58,85,51,8.75,-8.15,159.59
279,mount gambier,46.4,100,90,8.05,-37.83,140.78
280,puerto madero,55.63,66,0,5.82,-34.61,-58.36
281,vartej,87.8,74,75,10.29,21.74,72.06
282,nishihara,66.49,77,90,4.7,35.74,139.53
283,college,67.06,52,75,7.92,64.86,-147.8
284,gigmoto,83.98,77,100,7.7,13.78,124.39
285,ojinaga,77,61,1,3.44,29.56,-104.41
286,port hardy,55.4,93,90,3.36,50.7,-127.42
287,fethiye,82.17,61,0,9.17,36.62,29.12
288,sisimiut,44.2,67,92,32.1,66.94,-53.67
289,leningradskiy,51.22,64,51,8.03,69.38,178.42
290,hailey,50.2,87,90,11.41,43.52,-114.32
291,attawapiskat,,,,,,
292,yulara,44.6,56,0,4.7,-25.24,130.99
293,ames,81.09,65,40,9.17,42.03,-93.62
294,cap malheureux,72.86,83,20,2.24,-19.98,57.61
295,ybbs,,,,,,
296,oudtshoorn,66.2,59,75,9.17,-33.59,22.2
297,miyako,73.69,78,75,8.05,33.63,130.94
298,beloha,64.18,87,0,4.76,-25.17,45.06
299,katsuura,71.22,94,75,12.75,33.93,134.5
300,kamenka,66.99,53,18,8.57,48.03,28.7
301,tubuala,86,70,40,8.05,9.52,-79.03
302,detva,68,32,0,9.17,48.54,19.42
303,turtas,54.1,96,100,5.59,58.94,69.13
304,neiafu,75.2,94,90,5.82,-18.65,-173.98
305,canutama,89.38,43,44,3.09,-6.53,-64.38
306,richards bay,69.58,77,0,11.97,-28.77,32.06
307,mwene-ditu,70.66,30,69,2.62,-7.01,23.45
308,kantunilkin,89.28,62,75,10.29,21.1,-87.49
309,muli,65.08,96,100,2.66,28.08,109.56
310,ust-kamchatsk,,,,,,
311,mamakan,54.82,87,54,0.81,57.82,114.02
312,jackson,65.48,30,1,5.82,43.48,-110.76
313,rawson,56.08,44,31,4.92,-43.3,-65.11
314,labrea,,,,,,
315,yomitan,,,,,,
316,tuatapere,46,91,100,14,-46.13,167.69
317,valparaiso,79.39,14,1,6.49,41.47,-87.06
318,hammerfest,57.2,54,0,12.75,70.66,23.68
319,anar darreh,,,,,,
320,beruni,,,,,,
321,la ronge,57.2,76,90,11.41,55.1,-105.3
322,podor,100.18,27,45,18.92,16.65,-14.96
323,cayhagan,84.16,70,82,5.91,9.67,122.43
324,ahipara,56.8,66,97,8.93,-35.17,173.16
325,candido de abreu,64,48,0,3.91,-24.57,-51.33
326,constitucion,67.73,59,40,6.78,23.99,-104.67
327,touros,84.2,66,40,14.99,-5.2,-35.46
328,auki,82.18,65,70,9.33,12.18,6.51
329,santiago del estero,64.36,27,0,15.99,-27.8,-64.26
330,stornoway,,,,,,
331,adelaide,45.64,93,0,5.82,-34.93,138.6
332,xacmaz,68.5,68,95,6.6,41.46,48.81
333,hovd,52.93,87,75,16.11,63.83,10.7
334,chagda,,,,,,
335,san jose,86,55,20,13.87,14.25,-87.96
336,mandera,85.06,47,58,15.9,3.94,41.86
337,chopovychi,57.52,78,37,9.17,50.83,28.95
338,tazovskiy,46.54,69,7,14.56,67.47,78.7
339,venado tuerto,62.01,38,100,10,-33.75,-61.97
340,messina,86.09,66,40,9.17,38.19,15.55
341,mocambique,,,,,,
342,warqla,,,,,,
343,vao,59.5,73,0,7.94,59.1,26.19
344,dong hoi,83.26,67,78,7.31,17.48,106.6
345,nabire,69.58,99,100,3.15,-3.36,135.5
346,todos santos,93.15,17,75,6.93,23.45,-110.23
347,trairi,87.04,49,77,7.74,-3.28,-39.27
348,severo-kurilsk,41.86,98,100,13.13,50.68,156.12
349,louisbourg,,,,,,
350,wilmington,69.69,83,90,8.05,39.75,-75.55
351,antofagasta,60.8,63,20,11.41,-23.65,-70.4
352,karratha,67.78,43,0,9.01,-20.74,116.85
353,karkaralinsk,,,,,,
354,salisbury,68.92,45,0,8.05,51.07,-1.8
355,manzil jamil,,,,,,
356,faanui,79.12,82,34,16.73,-16.48,-151.75
357,huarmey,63.1,87,51,12.91,-10.07,-78.15
358,iskateley,38.8,86,4,13.98,67.68,53.15
359,birnin kebbi,91.54,48,99,11.95,12.45,4.2
360,axim,75.7,87,100,15.68,4.87,-2.24
361,pacific grove,59.68,82,90,8.05,36.62,-121.92
362,northam,55.4,93,90,3.36,-31.65,116.67
363,atar,110.26,6,12,12.08,20.52,-13.05
364,mehamn,48.85,81,0,6.93,71.03,27.85
365,ardabil,66.2,59,20,18.34,38.25,48.3
366,vila velha,84.25,51,20,21.92,-3.71,-38.6
367,imbituba,68,52,0,11.41,-28.24,-48.67
368,ushumun,64.36,80,100,3.87,52.78,126.54
369,akyab,,,,,,
370,la orilla,87.04,53,0,7.72,18,-102.23
371,umm ruwabah,,,,,,
372,martinopolis,69.8,35,0,9.17,-22.15,-51.17
373,adiake,75.2,94,90,9.17,5.29,-3.3
374,okhotsk,43.12,91,19,2.17,59.36,143.24
375,pinsk,56.26,91,37,9.64,52.11,26.1
376,lieksa,51.22,69,100,11.81,63.32,30.02
377,surskoye,60.94,84,100,3.83,54.48,46.71
378,saint anthony,67.55,30,1,5.82,43.97,-111.68
379,safaga,,,,,,
380,port-gentil,75.2,88,90,11.41,-0.72,8.78
381,kharan,91.36,9,0,5.99,28.58,65.42
382,yuzhno-kurilsk,51.76,92,13,7.45,44.03,145.86
383,ouesso,74.8,79,92,1.88,1.61,16.05
384,kaseda,72.48,83,35,3,31.42,130.32
385,pudozh,56.8,89,100,5.5,61.81,36.54
386,kidal,105.94,6,0,5.88,18.44,1.41
387,zonguldak,77.68,74,17,8.03,41.25,31.83
388,daru,74.08,93,99,6.51,-9.07,143.21
389,saint-georges,74.32,34,0,4,46.12,-70.67
390,chengzihe,64.9,92,16,1.72,45.35,131
391,pevek,44.2,69,37,2.3,69.7,170.27
392,sarmanovo,64.4,59,20,4.47,55.25,52.59
393,videira,64,39,0,1.61,-27.01,-51.15
394,bani walid,87.76,20,0,11.79,31.76,14
395,piney green,89.91,62,75,3.36,35.09,-78.48
396,bilibino,59.68,48,89,1.9,68.06,166.44
397,naples,84.56,70,0,8.05,40.84,14.25
398,songea,63.64,66,63,3.62,-10.68,35.65
399,banda aceh,83.62,72,24,12.3,5.56,95.32
400,sao filipe,72.82,79,79,13.87,14.9,-24.5
401,hambantota,83.08,83,100,15.82,6.12,81.12
402,augusto correa,82.36,83,39,3.67,-1.02,-46.63
403,rio cuarto,55.4,50,0,9.17,-33.13,-64.35
404,almaznyy,78.8,41,0,8.95,48.03,40.04
405,arman,48.34,86,8,2.77,59.7,150.17
406,kalabo,64.54,13,0,7.25,-15,22.67
407,comodoro rivadavia,57.2,58,0,6.93,-45.87,-67.48
408,dingle,74.62,85,100,2.04,11,122.67
409,nikolskoye,60.17,67,75,8.95,59.7,30.79
410,narsaq,64.4,20,75,25.28,60.91,-46.05
411,vardo,70.97,88,90,4.7,39.62,-77.74
412,waitati,46.99,54,98,7,-45.75,170.57
413,oistins,87.8,66,40,20.8,13.07,-59.53
414,hurricane,82.06,14,1,8.05,37.18,-113.29
415,riviere-au-renard,77,33,40,13.87,49,-64.4
416,makakilo city,77.67,94,1,3.36,21.35,-158.09
417,dwarka,85.35,62,75,4.7,28.58,77.04
418,forbes,48,97,0,2.71,-33.38,148.01
419,njombe,48.52,94,61,2.98,-9.34,34.77
420,patiya,80.6,94,90,2.24,22.3,91.98
421,midland,86.45,48,1,9.17,32,-102.08
422,strezhevoy,59,87,40,4.14,60.73,77.6
423,roma,84.88,66,0,6.93,41.89,12.48
424,cabo san lucas,93.49,26,75,6.93,22.89,-109.91
425,fort nelson,48.2,93,75,4.7,58.81,-122.69
426,redlands,66.6,64,1,4.7,34.06,-117.19
427,hofn,37.18,93,100,2.01,64.25,-15.21
428,mayumba,72.82,84,70,5.93,-3.44,10.65
429,agadez,86.38,51,1,12.75,16.97,7.99
430,nizhniy kuranakh,60.94,91,45,1.7,58.84,125.49
431,mayo,62.6,51,75,6.87,63.59,-135.9
432,novoselytsya,64.74,42,0,6.71,48.22,26.27
433,naze,78.8,88,75,4.7,5.43,7.07
434,qaqortoq,64.4,20,75,25.28,60.72,-46.03
435,vaitupu,,,,,,
436,half moon bay,61.07,77,75,10.29,37.46,-122.43
437,chaah,74.62,94,55,3.4,2.25,103.04
438,kismayo,,,,,,
439,kautokeino,56.62,54,66,8.23,69.01,23.04
440,nara,73.69,94,75,5.82,34.68,135.8
441,santa isabel do rio negro,85.06,59,69,4.25,-0.41,-65.02
442,seredeyskiy,55.9,91,37,4.16,54.05,35.23
443,kharian,87.8,70,40,9.17,32.81,73.87
444,corinth,92.05,32,0,4.7,37.94,22.93
445,orchard homes,64.94,48,1,1.19,46.86,-114.05
446,guangyuan,62.92,97,50,3.06,32.43,105.86
447,dinsor,,,,,,
448,kaeo,46,94,94,4,-35.1,173.78
449,szeghalom,74.44,36,0,14.99,47.02,21.17
450,adrar,114.8,5,0,13.87,27.87,-0.29
451,riviere-du-loup,75.34,31,50,12.68,47.83,-69.53
452,portland,79.9,41,20,4.7,43.66,-70.25
453,khani,75.2,78,75,10.29,41.96,42.96
454,atbasar,61.84,73,20,8.84,51.81,68.36
455,lashio,70.48,96,99,0.94,22.93,97.75
456,luanda,72.28,86,0,14.23,-8.83,13.24
457,genhe,51.58,99,49,3,50.78,121.52
458,langham,65.84,82,75,6.93,52.36,-106.96
459,srednekolymsk,61.66,53,0,7.07,67.46,153.71
460,millinocket,75.94,31,1,8.05,45.66,-68.71
461,sioux lookout,78.12,57,75,12.75,50.1,-91.92
462,diamantino,86.68,27,0,4.12,-14.4,-56.44
463,raichur,81.64,62,96,19.3,16.2,77.36
464,roblin,71.56,75,88,10.18,51.23,-101.35
465,san rafael del sur,86,66,75,9.17,11.85,-86.44
466,tezu,70.3,96,100,3.06,27.93,96.16
467,regina,73.62,73,75,10.29,50.45,-104.62
468,visby,59.27,82,75,5.82,57.64,18.3
469,kathmandu,73.4,94,75,2.24,27.71,85.32
470,palabuhanratu,,,,,,
471,tombouctou,105.58,18,16,7.34,16.77,-3.01
472,kyzyl-suu,68.5,66,28,3.6,42.34,78
473,chochola,93.45,55,75,6.93,20.75,-89.83
474,newport,71.04,46,90,8.05,51.59,-3
475,oswego,87.22,70,55,4.7,37.17,-95.11
476,knysna,66.2,59,75,9.17,-34.04,23.05
477,imeni poliny osipenko,53.92,88,65,6.04,52.42,136.49
478,zarubino,54.28,96,0,0.58,42.65,131.06
479,sterling,71.8,88,90,12.75,39,-77.4
480,geilo,53.01,74,100,1.01,60.53,8.21
481,costa rica,91.58,55,75,9.24,24.59,-107.39
482,svetlogorsk,62.6,55,75,4.47,53.14,59.15
483,buin,56.68,81,90,9.17,-33.73,-70.74
484,itaueira,86.86,45,6,13.29,-7.6,-43.03
485,avera,90.41,52,1,8.05,33.19,-82.53
486,port macquarie,50.47,100,1,5.82,-31.43,152.91
487,kopervik,53.94,81,75,17.22,59.28,5.31
488,keetmanshoop,73.4,13,6,2.24,-26.57,18.15
489,dumas,84.2,83,40,9.17,21.09,72.71
490,buzmeyin,89.6,40,17,4.7,38.05,58.21
491,brownsville,92.21,56,1,12.75,25.91,-97.49
492,kahului,74.75,83,75,14.99,20.89,-156.47
493,nizhneyansk,,,,,,
494,taksimo,55.36,74,95,5.73,56.36,114.84
495,vrangel,54.1,96,19,0.87,42.73,133.08
496,ulladulla,42.17,81,0,9.17,-35.36,150.48
497,tarnow,61.36,55,75,14.99,53.78,12.02
498,jacareacanga,88.66,50,13,2.95,-6.22,-57.76
499,mount isa,59,72,40,3.36,-20.73,139.49
500,dekar,57.52,20,0,8.88,-21.53,21.93
501,necochea,52.72,75,100,8.01,-38.55,-58.74
502,plettenberg bay,58.78,76,83,3.69,-34.05,23.37
503,fukue,74.41,83,75,13.87,35.03,136.69
504,tocopilla,59.32,84,74,13.85,-22.09,-70.2
505,macheng,69.22,97,100,4.63,31.18,115.03
506,anshun,61.3,85,100,3.67,26.25,105.93
507,luwingu,60.76,34,63,2.35,-10.26,29.92
508,roshchino,57.67,87,40,6.71,55.31,61.27
509,tevriz,55.36,97,50,6.62,57.51,72.4
510,fez,82.4,34,0,14.99,34.03,-5.02
511,sibolga,82.72,73,100,9.69,1.74,98.78
512,erzin,85.6,43,0,18.34,36.95,36.2
513,rockland,79.18,36,20,4.7,45.55,-75.29
514,vestmannaeyjar,51.8,87,40,26.4,63.44,-20.27
515,lavrentiya,67.06,34,30,2.53,65.58,-170.99
516,matam,95.86,35,98,18.59,15.66,-13.26
517,broome,63.14,51,0,8.05,52.47,1.45
518,vila do maio,84.2,51,40,18.34,15.13,-23.22
519,umm lajj,84.52,73,0,3.15,25.02,37.27
520,cabedelo,80.6,74,40,18.34,-6.97,-34.84
521,marcona,,,,,,
522,bilma,98.02,20,80,2.75,18.69,12.92
523,kihei,75.13,83,75,14.99,20.76,-156.45
524,talcahuano,57.2,82,90,16.11,-36.72,-73.12
525,beberibe,86,51,20,21.92,-4.18,-38.13
